dataset,model,type,validation.rouge1,validation.rouge2,validation.rougeL,validation.rougeLsum,validation.bertscore_f1,validation.bertscore_precision,validation.bertscore_recall,test.rouge1,test.rouge2,test.rougeL,test.rougeLsum,test.bertscore_f1,test.bertscore_precision,test.bertscore_recall,test.total_time
cnn_dailymail,opt-2.7b,beam search,0.3901585174983831,0.1487466625416411,0.26885375216028295,0.36628143906674837,0.8760506350507018,0.8863797553123967,0.866285474710567,0.3777428677177568,0.14686925910421067,0.2597254056162966,0.35328662255829957,0.8750483366437065,0.8856559371691589,0.8650451817177073,15244.295932769775
cnn_dailymail,opt-2.7b,beam search multinomial sampling,0.3715943273113016,0.1573389909424929,0.2699413863780964,0.35233349059627495,0.8759524450507216,0.8897882770466549,0.8628232921323469,0.36544625417999566,0.14429040763657291,0.2543421954748312,0.34094882865643045,0.8739703236958428,0.888427962863202,0.8603242630653558,26190.178357839584
cnn_dailymail,opt-2.7b,multinomial sampling,0.37974081467653437,0.12930955338716835,0.24792044391325285,0.3507121843952529,0.8702011178898555,0.8740322929556652,0.8666618972696284,0.3689957393943988,0.13121886515813347,0.24221918969525624,0.3442570005393548,0.8696005098406999,0.8732544493803558,0.8663043873765797,9653.35815191269
cnn_dailymail,opt-2.7b,top-p nucleus multinomial sampling,0.3672445066903124,0.13856185169120247,0.24471126936350812,0.3435134572331475,0.8684019363054665,0.8694805810528417,0.8677117824554443,0.36744697493428596,0.1399585789713734,0.24199134195399002,0.3422997228872867,0.8706445553258298,0.8735939109708896,0.8680707869384685,9924.384873867035
cnn_dailymail,opt-2.7b,truncation multinomial sampling,0.3669497393205217,0.116597040441521,0.23804427535170652,0.34190360160301714,0.8666885905368353,0.8701844785803108,0.8635789867370359,0.36192506470810115,0.11892786822306212,0.23459108568045975,0.33640790568799095,0.8675559141979392,0.8716282850885171,0.8638307518677921,9392.578387975693
cnn_dailymail,opt-2.7b,top-k sampling,0.31546751458758315,0.08302847379289358,0.19782594220754002,0.2923431890577004,0.8588250734472788,0.8611414868344542,0.8567653074059435,0.3293856069924397,0.09378884442684432,0.20751978347973096,0.30367795162330924,0.8608043704959236,0.8634113569270984,0.8585295082481562,10256.521891355515
cnn_dailymail,opt-6.7b,grouped beam search,0.43149147465745424,0.20491904378517423,0.3099978773409534,0.40521873716903467,0.8812360103412341,0.881774079415106,0.881034924778887,0.4143771060842018,0.19378251795158907,0.29271662536942755,0.3905441365687651,0.8788902402028586,0.8805375336436817,0.8776145446642213,38702.66487765312
cnn_dailymail,opt-6.7b,beam search top-k sampling,0.43157142688984385,0.20579229612933883,0.30268974343555066,0.4050678634451542,0.8801226949179044,0.8728761692200938,0.8878389712302915,0.4081472341871967,0.19029301375176727,0.2846848814678531,0.3826651357516613,0.876427431386498,0.8725251991976515,0.8807588035434518,37078.31331825256
cnn_dailymail,opt-6.7b,beam search,0.3935688827926298,0.16270188937543287,0.277300751983149,0.37107542581077724,0.8774534630519087,0.8884651398146024,0.8670551200066844,0.3783178782994491,0.14827081511893286,0.26037644215225236,0.3530904770838309,0.8750008162456574,0.8864070898765228,0.8642434063804121,23155.062525749207
cnn_dailymail,opt-6.7b,contrastive search,0.4061019035030037,0.191405684911255,0.2989285197518555,0.38149888680602595,0.8753316114025731,0.8834861311861264,0.867754453612912,0.3999196317679835,0.18486340962508452,0.2856181339168474,0.37672704809311264,0.875688366059413,0.8841022878478654,0.8677602313549382,19956.50647211075
cnn_dailymail,opt-6.7b,beam search multinomial sampling,0.3821319978766036,0.14174403638587105,0.2623020714089205,0.3578328199039072,0.8752809718091,0.8833261260422327,0.8677066635060054,0.3831215291261923,0.14423059709824088,0.2566562733262906,0.3572701948939235,0.8750445178429793,0.881754864387271,0.8687398417719107,29367.046645641327
cnn_dailymail,opt-6.7b,greedy decoding,0.4012127392070619,0.16544505140131313,0.2805115533953222,0.38043277896949385,0.8749850379523411,0.8783553409320052,0.8719146943861439,0.3904626840379991,0.1517190798174325,0.26624528426258376,0.3661777502499516,0.8737462587194816,0.8783853351883334,0.8694550580189933,13980.724508285522
cnn_dailymail,opt-6.7b,top-p nucleus top-k sampling,0.3867779515946364,0.15354341362056292,0.2629816726711033,0.36398339420657355,0.8745450409509803,0.8799683073515533,0.8694459148632583,0.3810696748180762,0.14236624249418173,0.25423843180953,0.35620132601420806,0.8722397031556054,0.8760478707171006,0.8687923188008987,15934.70378780365
cnn_dailymail,opt-6.7b,truncation multinomial sampling,0.38640236005715756,0.13366765873512598,0.24718447394446244,0.3545106515346554,0.8701462598257167,0.874862886885161,0.8657878156631224,0.36242274122963414,0.12090998900136463,0.23674812855047372,0.3368963961075143,0.8679402828410534,0.8719193602491639,0.8643177290750036,14908.751702070236
cnn_dailymail,opt-6.7b,top-p nucleus multinomial sampling,0.3751985410466513,0.12595957627863005,0.24641017809263574,0.34844940225279974,0.8688463434096305,0.8734966657494986,0.8645536816248329,0.34726190045798966,0.10758185283891834,0.22206872396241958,0.32140106136057556,0.8647673155253037,0.8688519118291473,0.8610198599985714,14694.523730516434
cnn_dailymail,opt-6.7b,multinomial sampling,0.36363675323866906,0.12615933769707832,0.24407608235606415,0.34073417167775877,0.8687804347725325,0.8726751054486921,0.8653004637328527,0.3607084179661514,0.11827479168209587,0.2347711885015394,0.3352455131739801,0.86754253609247,0.8714697268552634,0.8639703542050051,14673.74469280243
cnn_dailymail,opt-6.7b,top-k sampling,0.3500420196080496,0.10761999016532087,0.22215474614128541,0.3197445875909638,0.8633953999447567,0.865627803469217,0.8615062762332218,0.3278546002474692,0.09267622505178041,0.20520921977146278,0.30151829049191403,0.8606377500797754,0.8630878134847567,0.8585286992991996,15950.911665201187
cnn_dailymail,opt-13b,contrastive search,0.42194820318451715,0.20289109249716206,0.3032286297987353,0.39833838989286696,0.8804054708891017,0.879105511532035,0.8820998239260848,0.4075122866664568,0.18860008571130144,0.28624466486497957,0.3831737709416937,0.8770943914177212,0.8771138331859964,0.8775014381994218,66581.63299679756
cnn_dailymail,opt-13b,beam search top-k sampling,0.41838877128649676,0.19132473693364221,0.2987939704907438,0.39216022153102814,0.8777277725999073,0.8718942935748767,0.8840433410418931,0.40236977122489115,0.18595581334509947,0.27836975640538686,0.37693551856348506,0.8753014820838754,0.870359444173559,0.8807272184535251,67020.88753461838
