dataset,model,trial,loss,type,total_time,metrics.rouge1,metrics.rouge2,metrics.rougeL,metrics.rougeLsum,metrics.bertscore_f1,metrics.bertscore_precision,metrics.bertscore_recall
cnn_dailymail,opt-13b,65,0.8292944719714503,truncation multinomial sampling,486.198557138443,0.1182912805826517,0.014007786636267356,0.08189363175380321,0.10867271955894714,0.8292944719714503,0.8265232559173338,0.8324252764383951
cnn_dailymail,opt-13b,66,0.87788575695407,contrastive search,1349.3018777370453,0.4164229232945822,0.1950138134018853,0.30315148649599255,0.39350517084002234,0.87788575695407,0.8773439526557922,0.8787489815424847
cnn_dailymail,opt-13b,67,0.8775436737204111,contrastive search,1446.6783785820007,0.4153681928338677,0.1915699824514283,0.30118040313107597,0.3904740640350418,0.8775436737204111,0.8775827506537078,0.8778226606307491
cnn_dailymail,opt-13b,68,0.8803296198127091,contrastive search,1917.602998971939,0.422759835115419,0.2023412709233142,0.30384459715669687,0.3986438431920942,0.8803296198127091,0.8791446647336406,0.8818842544350572
cnn_dailymail,opt-13b,69,0.8801982774529405,contrastive search,1627.5839867591858,0.4200630084732964,0.19949760794462995,0.30175904404469056,0.397001296846083,0.8801982774529405,0.8792175714687634,0.8815471299232975
cnn_dailymail,opt-13b,70,0.8800331456686861,contrastive search,1025.9103035926819,0.42027652817096683,0.19840388000743303,0.30160753263219275,0.3963123896485501,0.8800331456686861,0.8787361691074986,0.8816989512853725
cnn_dailymail,opt-13b,71,0.8758584914668914,top-p nucleus top-k sampling,685.414398431778,0.398052027626423,0.17020482155530176,0.2768373550540414,0.3718416277833091,0.8758584914668914,0.8780978001574035,0.8740496846937365
cnn_dailymail,opt-13b,72,0.8715675255303742,greedy decoding,422.6209146976471,0.38787988195023926,0.1413649470425034,0.262399866087991,0.36178229265904094,0.8715675255303742,0.8756337300423653,0.8679028896875279
cnn_dailymail,opt-13b,73,0.880236384689167,contrastive search,1352.9154646396637,0.42341404590702886,0.2015030459058613,0.30385729265510686,0.3989687976242624,0.880236384689167,0.8786551522952254,0.8822004391301063
cnn_dailymail,opt-13b,74,0.8628619114557902,multinomial sampling,515.561155796051,0.3390166434827629,0.11959794995547574,0.21958114838038253,0.31420370487058263,0.8628619114557902,0.8651185144660294,0.8608957593159009
cnn_dailymail,opt-13b,75,0.8731666950769322,grouped beam search,1222.1090128421783,0.3857003124299899,0.14763007679135695,0.27265672691379567,0.36601887691667867,0.8731666950769322,0.8753908936695386,0.8712012389654754
cnn_dailymail,opt-13b,76,0.8282121022542318,top-k sampling,553.2889585494995,0.12319647618287305,0.016212012851003613,0.08190873288061634,0.11632906716910336,0.8282121022542318,0.823081600409682,0.8337268207662849
cnn_dailymail,opt-13b,77,0.8755329655062768,beam search multinomial sampling,554.5173180103302,0.37635005655240816,0.15064598070508695,0.2634493016522491,0.3544104308547469,0.8755329655062768,0.8884488023737426,0.8632984699741486
cnn_dailymail,opt-13b,78,0.880236384689167,contrastive search,1044.7012226581573,0.42341404590702886,0.2015030459058613,0.30385729265510686,0.3989687976242624,0.880236384689167,0.8786551522952254,0.8822004391301063
cnn_dailymail,opt-13b,79,0.8696008446396039,beam search,625.7546629905701,0.3358212220539184,0.1149107757630517,0.2308498047246474,0.31202530834113174,0.8696008446396039,0.8827974052839381,0.8571597594086842
cnn_dailymail,opt-13b,80,0.8620101751819733,top-p nucleus multinomial sampling,394.0937898159027,0.3362739077523968,0.08874283709838868,0.21732105251987,0.3104444683619434,0.8620101751819733,0.864794970199626,0.8595145152461144
cnn_dailymail,opt-13b,81,0.8531795438899789,truncation multinomial sampling,319.57750034332275,0.2954687770912495,0.07721496752163734,0.18884139056586302,0.2670759778928694,0.8531795438899789,0.8596127936916966,0.8471506218756398
cnn_dailymail,opt-13b,82,0.8715431446670204,contrastive search,832.7534651756287,0.3808421556560905,0.14652894116707177,0.2670484620567816,0.36237995662162215,0.8715431446670204,0.8741703789721254,0.8692316233470876
cnn_dailymail,opt-13b,83,0.8451343230021897,top-p nucleus top-k sampling,444.2204020023346,0.16713126132864495,0.02534102859381476,0.11488027306508125,0.15749555748921645,0.8451343230021897,0.8442111271683888,0.8463390456732883
cnn_dailymail,opt-13b,84,0.873153721132586,greedy decoding,423.3116400241852,0.3882248754446941,0.14939169360422555,0.2738848424596271,0.36987161497660936,0.873153721132586,0.8751584951595593,0.8714469132884857
cnn_dailymail,opt-13b,85,0.8762646548209652,grouped beam search,920.61203956604,0.4066056781438874,0.1969242096047853,0.3026398447952431,0.3838038732631108,0.8762646548209652,0.8814900491827278,0.8715228323013552
cnn_dailymail,opt-13b,86,0.8445217038995476,contrastive search,916.4877691268921,0.16470949860992434,0.023923396512693845,0.11474632113550862,0.1567805293114895,0.8445217038995476,0.8448238808621642,0.8444543224509045
cnn_dailymail,opt-13b,87,0.8412223310880763,multinomial sampling,439.7398021221161,0.15849314018488184,0.023401092566823923,0.10616202805519498,0.14805265510949964,0.8412223310880763,0.8406719341072985,0.8419685350951328
cnn_dailymail,opt-13b,88,0.8717803576941131,contrastive search,932.3883786201477,0.3889483067508762,0.14074144945440412,0.2618996332967053,0.3602083333649274,0.8717803576941131,0.8743082393882096,0.869638051397057
cnn_dailymail,opt-13b,89,0.8652989031166158,top-k sampling,409.9988794326782,0.35826571593796497,0.11815944459652747,0.23814575168820817,0.33452826290627125,0.8652989031166158,0.8685911560571322,0.8623594128957359
cnn_dailymail,opt-13b,90,0.832081365328963,beam search multinomial sampling,1355.6386144161224,0.28116765488873835,0.1395494745982752,0.21939047433064246,0.26687171402995424,0.832081365328963,0.8228900156995301,0.8442889913435905
cnn_dailymail,opt-13b,91,0.876301658409898,beam search,621.250997543335,0.4149633639812512,0.1991171470974581,0.3037915094309711,0.39086534510567345,0.876301658409898,0.8793264992775456,0.8737188064923851
cnn_dailymail,opt-13b,92,0.8804054708891017,contrastive search,902.4493429660797,0.42194820318451715,0.20289109249716206,0.3032286297987353,0.39833838989286696,0.8804054708891017,0.879105511532035,0.8820998239260848
cnn_dailymail,opt-13b,93,0.8186626530462696,top-p nucleus multinomial sampling,332.7583694458008,0.08713261905929012,0.006411473586024174,0.06364716553766203,0.08235396966637384,0.8186626530462696,0.8184646976891384,0.8191080753521253
